player_id,game_id,fo,fo_wins
8471215,2019020007,10,4
8471675,2019020007,27,13
8471743,2019020007,5,3
8473449,2019020007,1,1
8475149,2019020007,9,2
8475728,2019020007,17,10
8475760,2019020007,12,6
8475784,2019020007,1,1
8476927,2019020007,13,7
8477933,2019020007,1,1
8477955,2019020007,1,1
8478403,2019020007,18,10
8479999,2019020007,11,4
8473986,2019020021,3,1
8474034,2019020021,1,1
8474098,2019020021,1,0
8474564,2019020021,13,8
8474870,2019020021,11,7
8474884,2019020021,1,1
8475792,2019020021,1,1
8476389,2019020021,18,10
8476826,2019020021,10,4
8476966,2019020021,8,5
8477493,2019020021,14,6
8478366,2019020021,1,0
8478519,2019020021,12,6
8478569,2019020021,20,7
8479404,2019020021,2,1
8471698,2019020023,6,2
8473533,2019020023,19,14
8473563,2019020023,14,10
8474189,2019020023,15,10
8475209,2019020023,1,1
8475287,2019020023,19,5
8475343,2019020023,11,5
8476905,2019020023,16,7
8476921,2019020023,1,0
8476934,2019020023,2,1
8477944,2019020023,2,1
8478027,2019020023,9,5
8478427,2019020023,14,4
8480039,2019020023,1,0
8473533,2019020031,18,8
8474564,2019020031,21,10
8474870,2019020031,19,4
8475287,2019020031,19,15
8476826,2019020031,2,2
8476882,2019020031,1,1
8476921,2019020031,1,0
8476934,2019020031,2,1
8476966,2019020031,7,4
8478027,2019020031,13,6
8478427,2019020031,18,10
8478519,2019020031,23,11
8473422,2019020068,6,2
8473533,2019020068,17,9
8474062,2019020068,14,6
8474679,2019020068,3,1
8474715,2019020068,2,1
8475287,2019020068,19,12
8476288,2019020068,1,1
8476432,2019020068,9,6
8477505,2019020068,19,10
8477998,2019020068,1,0
8478027,2019020068,6,3
8478427,2019020068,17,8
8479328,2019020068,1,0
8479400,2019020068,10,3
8480039,2019020068,1,1
8470775,2019020086,15,11
8474034,2019020086,1,1
8474564,2019020086,6,2
8474870,2019020086,5,3
8475193,2019020086,1,0
8475738,2019020086,5,2
8476479,2019020086,12,8
8476826,2019020086,9,3
8477409,2019020086,1,0
8477503,2019020086,10,5
8478010,2019020086,12,4
8478519,2019020086,16,7
8480018,2019020086,3,2
8480829,2019020086,4,2
8470755,2019020087,16,7
8471262,2019020087,10,5
8474613,2019020087,18,7
8476392,2019020087,11,5
8476460,2019020087,23,10
8476994,2019020087,1,1
8477429,2019020087,15,11
8477940,2019020087,1,0
8477951,2019020087,3,1
8477989,2019020087,8,6
8478458,2019020087,1,0
8478474,2019020087,1,1
8478891,2019020087,1,0
8479339,2019020087,1,0
8481019,2019020087,4,3
8466138,2019020097,19,10
8473533,2019020097,17,5
8474053,2019020097,18,14
8475169,2019020097,2,1
8475287,2019020097,21,11
8476624,2019020097,4,1
8476881,2019020097,18,9
8476882,2019020097,2,1
8476934,2019020097,2,1
8478027,2019020097,12,7
8478427,2019020097,12,5
8479580,2019020097,7,2
8480039,2019020097,2,1
8470047,2019020111,14,7
8470144,2019020111,7,2
8471794,2019020111,1,0
8475772,2019020111,12,6
8476454,2019020111,15,7
8476822,2019020111,7,3
8476915,2019020111,1,1
8477454,2019020111,1,0
8477455,2019020111,6,4
8477511,2019020111,2,2
8477934,2019020111,10,7
8477946,2019020111,16,8
8478402,2019020111,11,4
8481813,2019020111,5,3
8469459,2019020125,22,12
8470595,2019020125,14,11
8470610,2019020125,2,1
8470775,2019020125,9,5
8475254,2019020125,8,3
8475738,2019020125,4,2
8476393,2019020125,1,0
8476479,2019020125,22,9
8477451,2019020125,3,0
8477476,2019020125,1,1
8477503,2019020125,10,5
8477987,2019020125,6,3
8478413,2019020125,3,1
8479316,2019020125,6,3
8480018,2019020125,4,2
8480829,2019020125,13,6
8471669,2019020130,12,3
8471817,2019020130,2,2
8473512,2019020130,20,11
8474157,2019020130,1,0
8475236,2019020130,16,6
8475763,2019020130,8,5
8476448,2019020130,16,8
8476461,2019020130,17,11
8476539,2019020130,2,0
8476872,2019020130,3,2
8477290,2019020130,1,1
8477478,2019020130,2,1
8477931,2019020130,8,6
8478067,2019020130,1,1
8478844,2019020130,10,3
8479996,2019020130,1,0
8471743,2019020147,3,3
8475149,2019020147,5,3
8475184,2019020147,1,0
8475728,2019020147,8,3
8475735,2019020147,2,1
8475784,2019020147,1,1
8476458,2019020147,9,2
8476459,2019020147,18,9
8478403,2019020147,18,10
8479353,2019020147,12,6
8479999,2019020147,9,6
8480072,2019020147,1,0
8481554,2019020147,1,0
8470604,2019020149,5,2
8471685,2019020149,16,10
8473453,2019020149,7,2
8474102,2019020149,1,0
8475098,2019020149,6,3
8475158,2019020149,17,10
8475170,2019020149,10,5
8475768,2019020149,2,1
8476897,2019020149,2,2
8477960,2019020149,5,2
8477964,2019020149,7,1
8478020,2019020149,11,6
8480023,2019020149,2,1
8480113,2019020149,1,0
8481481,2019020149,2,2
8471698,2019020154,3,0
8473563,2019020154,23,13
8474040,2019020154,3,1
8474176,2019020154,1,1
8474189,2019020154,13,7
8475343,2019020154,11,6
8475744,2019020154,13,7
8475772,2019020154,10,4
8476440,2019020154,1,0
8476454,2019020154,12,5
8476880,2019020154,1,0
8476905,2019020154,1,0
8476915,2019020154,1,1
8477903,2019020154,1,0
8477934,2019020154,15,6
8478402,2019020154,25,16
8473533,2019020161,13,3
8473604,2019020161,20,13
8474250,2019020161,1,0
8475287,2019020161,11,5
8476288,2019020161,1,0
8476381,2019020161,3,0
8476934,2019020161,2,1
8477846,2019020161,5,2
8477998,2019020161,1,0
8478027,2019020161,7,3
8478427,2019020161,15,8
8478440,2019020161,3,2
8479337,2019020161,1,1
8479423,2019020161,1,0
8480144,2019020161,11,8
8481523,2019020161,5,4
8470638,2019020162,20,10
8475098,2019020162,13,9
8475158,2019020162,20,14
8475170,2019020162,10,3
8475745,2019020162,9,0
8475768,2019020162,1,0
8475780,2019020162,2,1
8476374,2019020162,11,4
8476897,2019020162,1,1
8477964,2019020162,7,4
8480944,2019020162,10,6
8466138,2019020179,16,7
8470638,2019020179,18,9
8471276,2019020179,10,5
8473419,2019020179,2,0
8474053,2019020179,8,5
8475169,2019020179,1,1
8475745,2019020179,13,8
8475780,2019020179,2,1
8476374,2019020179,7,3
8476624,2019020179,8,3
8476881,2019020179,14,9
8477922,2019020179,1,1
8478414,2019020179,2,0
8479580,2019020179,2,0
8470047,2019020184,16,9
8470144,2019020184,7,4
8474040,2019020184,4,1
8475163,2019020184,1,0
8475772,2019020184,6,2
8476454,2019020184,10,7
8476960,2019020184,1,1
8477454,2019020184,1,1
8477455,2019020184,10,3
8477934,2019020184,15,6
8477946,2019020184,20,15
8478036,2019020184,1,0
8478402,2019020184,7,1
8479466,2019020184,1,0
8481813,2019020184,12,6
8473604,2019020185,18,11
8474009,2019020185,13,8
8474068,2019020185,5,2
8475168,2019020185,8,6
8475225,2019020185,1,0
8475714,2019020185,1,0
8475766,2019020185,1,0
8475793,2019020185,18,11
8476381,2019020185,8,4
8476925,2019020185,12,4
8477846,2019020185,10,4
8478440,2019020185,6,1
8479337,2019020185,2,1
8479423,2019020185,2,1
8480144,2019020185,13,6
8470775,2019020192,16,11
8471262,2019020192,11,4
8473548,2019020192,2,1
8474613,2019020192,25,14
8475193,2019020192,1,1
8476393,2019020192,2,1
8476479,2019020192,20,13
8476994,2019020192,1,0
8477476,2019020192,1,1
8477494,2019020192,1,0
8477503,2019020192,12,3
8477951,2019020192,11,5
8477989,2019020192,12,6
8480018,2019020192,3,1
8480829,2019020192,11,4
8480849,2019020192,5,2
8469454,2019020193,1,0
8470604,2019020193,9,5
8471685,2019020193,23,7
8473453,2019020193,2,0
8474091,2019020193,15,10
8474291,2019020193,15,9
8476410,2019020193,2,2
8476468,2019020193,14,6
8476947,2019020193,14,6
8477500,2019020193,20,16
8477960,2019020193,8,2
8478455,2019020193,1,0
8481481,2019020193,8,3
8473504,2019020197,1,1
8474564,2019020197,13,9
8474573,2019020197,7,3
8475231,2019020197,14,6
8475754,2019020197,16,8
8476975,2019020197,5,4
8477936,2019020197,1,1
8478010,2019020197,11,5
8478367,2019020197,3,0
8478445,2019020197,4,0
8478472,2019020197,2,1
8478519,2019020197,13,7
8480186,2019020197,2,1
8470047,2019020222,14,12
8470144,2019020222,12,6
8471716,2019020222,2,1
8474009,2019020222,13,6
8474068,2019020222,4,3
8475168,2019020222,7,4
8475225,2019020222,3,1
8475793,2019020222,18,8
8476925,2019020222,15,5
8476960,2019020222,1,0
8477455,2019020222,9,3
8477511,2019020222,1,0
8477946,2019020222,19,11
8481433,2019020222,2,0
8469454,2019020228,1,0
8470604,2019020228,15,6
8471685,2019020228,10,7
8475166,2019020228,12,8
8475726,2019020228,1,0
8476406,2019020228,5,3
8477021,2019020228,11,7
8477512,2019020228,5,3
8477939,2019020228,9,4
8477960,2019020228,10,3
8478020,2019020228,9,3
8478483,2019020228,3,0
8479318,2019020228,9,6
8481481,2019020228,8,4
8470604,2019020242,8,3
8470606,2019020242,2,1
8471685,2019020242,17,6
8473573,2019020242,10,4
8476419,2019020242,15,9
8476480,2019020242,1,0
8476919,2019020242,17,10
8477426,2019020242,9,6
8477960,2019020242,10,5
8478020,2019020242,11,6
8478455,2019020242,1,0
8478488,2019020242,1,0
8478833,2019020242,8,4
8480113,2019020242,1,0
8480801,2019020242,2,0
8481481,2019020242,13,9
8470619,2019020252,13,7
8473544,2019020252,1,1
8474098,2019020252,2,1
8474573,2019020252,7,4
8474884,2019020252,1,0
8475231,2019020252,5,2
8475314,2019020252,8,5
8475754,2019020252,25,17
8475792,2019020252,1,0
8476389,2019020252,7,4
8476952,2019020252,7,0
8477493,2019020252,23,11
8478367,2019020252,5,2
8478445,2019020252,5,1
8478843,2019020252,2,1
8471233,2019020265,13,8
8474091,2019020265,11,3
8474291,2019020265,10,8
8476468,2019020265,5,4
8477500,2019020265,22,10
8478401,2019020265,1,0
8479291,2019020265,8,2
8479407,2019020265,1,0
8480002,2019020265,16,10
8480012,2019020265,3,2
8481559,2019020265,12,4
8470638,2019020267,22,12
8471276,2019020267,12,8
8473419,2019020267,1,0
8473512,2019020267,17,12
8474037,2019020267,1,0
8475763,2019020267,21,5
8475780,2019020267,5,3
8476374,2019020267,6,5
8476404,2019020267,2,1
8476461,2019020267,2,1
8477290,2019020267,5,1
8478067,2019020267,3,0
8478439,2019020267,3,1
8478485,2019020267,1,1
8480944,2019020267,7,4
8474564,2019020287,18,11
8474870,2019020287,3,2
8475184,2019020287,7,2
8475735,2019020287,1,0
8476458,2019020287,18,7
8476826,2019020287,1,0
8476975,2019020287,16,9
8477402,2019020287,1,1
8478010,2019020287,15,10
8478519,2019020287,14,6
8479353,2019020287,16,7
8480072,2019020287,12,5
8480078,2019020287,12,7
8470794,2019020291,15,10
8473994,2019020291,4,4
8475413,2019020291,2,1
8475794,2019020291,15,11
8476344,2019020291,3,2
8476410,2019020291,1,0
8476468,2019020291,9,3
8476871,2019020291,2,0
8476889,2019020291,16,6
8477213,2019020291,1,0
8477450,2019020291,2,1
8477500,2019020291,27,13
8478444,2019020291,2,0
8478874,2019020291,6,1
8479381,2019020291,2,1
8479587,2019020291,6,3
8480012,2019020291,11,6
8474062,2019020297,17,9
8474679,2019020297,1,1
8475098,2019020297,16,7
8475158,2019020297,21,10
8475170,2019020297,13,7
8476432,2019020297,22,10
8476897,2019020297,5,2
8477455,2019020297,1,1
8477505,2019020297,17,9
8477964,2019020297,6,1
8479400,2019020297,11,8
8480023,2019020297,6,3
8466138,2019020313,10,3
8466139,2019020313,1,0
8470047,2019020313,10,5
8470144,2019020313,4,1
8474053,2019020313,12,7
8475169,2019020313,1,1
8476624,2019020313,4,1
8476822,2019020313,15,8
8476881,2019020313,16,9
8476960,2019020313,1,0
8477922,2019020313,1,1
8477946,2019020313,24,13
8479580,2019020313,9,5
8470619,2019020319,8,4
8473512,2019020319,15,6
8474098,2019020319,1,0
8474161,2019020319,1,0
8475763,2019020319,14,7
8476389,2019020319,6,3
8476404,2019020319,1,0
8476461,2019020319,10,7
8476952,2019020319,3,1
8477290,2019020319,4,2
8477493,2019020319,13,9
8478569,2019020319,14,7
8478843,2019020319,3,1
8480028,2019020319,3,1
8471215,2019020321,26,13
8473544,2019020321,1,1
8474573,2019020321,4,2
8475231,2019020321,22,12
8475314,2019020321,5,2
8475754,2019020321,20,14
8476927,2019020321,16,7
8477010,2019020321,7,4
8477955,2019020321,13,5
8478043,2019020321,6,2
8478445,2019020321,10,5
8478866,2019020321,1,0
8479526,2019020321,9,3
8479944,2019020321,1,0
8480946,2019020321,1,1
8471215,2019020368,22,13
8473473,2019020368,1,1
8474150,2019020368,14,9
8476851,2019020368,1,0
8476873,2019020368,11,6
8476927,2019020368,10,2
8477404,2019020368,2,1
8477496,2019020368,9,6
8477497,2019020368,17,8
8477955,2019020368,18,9
8478043,2019020368,11,5
8478233,2019020368,2,1
8478585,2019020368,16,6
8478866,2019020368,6,3
8469459,2019020375,19,12
8470595,2019020375,9,6
8470610,2019020375,1,0
8471233,2019020375,15,9
8474190,2019020375,1,1
8475722,2019020375,2,0
8475791,2019020375,1,1
8476399,2019020375,9,2
8476437,2019020375,10,4
8477451,2019020375,6,4
8478413,2019020375,1,0
8478493,2019020375,9,6
8478881,2019020375,2,0
8479316,2019020375,7,4
8480002,2019020375,27,11
8480003,2019020375,1,0
8481559,2019020375,8,4
8473533,2019020381,25,12
8475184,2019020381,1,1
8476458,2019020381,5,0
8476459,2019020381,29,15
8476882,2019020381,2,2
8476921,2019020381,1,0
8476922,2019020381,6,4
8476934,2019020381,1,0
8477962,2019020381,3,1
8478027,2019020381,17,15
8478427,2019020381,19,11
8479353,2019020381,14,3
8480078,2019020381,12,4
8480185,2019020381,5,2
8473533,2019020401,14,9
8474009,2019020401,17,11
8475168,2019020401,12,7
8475225,2019020401,2,2
8475793,2019020401,9,3
8475798,2019020401,2,0
8476882,2019020401,2,1
8476925,2019020401,11,9
8478027,2019020401,14,2
8478056,2019020401,9,4
8478427,2019020401,14,5
8471233,2019020427,10,4
8471669,2019020427,14,11
8471817,2019020427,1,0
8474157,2019020427,1,0
8474190,2019020427,4,2
8475151,2019020427,2,1
8475791,2019020427,1,1
8475913,2019020427,1,0
8476399,2019020427,3,0
8476448,2019020427,12,7
8476539,2019020427,3,2
8476905,2019020427,4,2
8477478,2019020427,1,1
8477931,2019020427,5,2
8477949,2019020427,2,1
8478401,2019020427,16,8
8479291,2019020427,4,2
8479996,2019020427,10,3
8480002,2019020427,14,7
8469455,2019020434,4,3
8474685,2019020434,1,0
8475166,2019020434,20,11
8475172,2019020434,10,2
8475786,2019020434,5,5
8476391,2019020434,2,1
8477021,2019020434,4,2
8477456,2019020434,8,1
8477492,2019020434,12,7
8477930,2019020434,11,5
8477939,2019020434,4,2
8478115,2019020434,1,0
8478420,2019020434,6,3
8478483,2019020434,2,1
8479318,2019020434,13,10
8479370,2019020434,4,0
8481624,2019020434,1,1
8470655,2019020438,1,0
8471276,2019020438,16,9
8473419,2019020438,1,0
8473604,2019020438,28,17
8474250,2019020438,1,0
8475745,2019020438,14,10
8475780,2019020438,4,1
8475807,2019020438,1,0
8476374,2019020438,10,3
8476438,2019020438,2,1
8477330,2019020438,1,0
8477846,2019020438,5,2
8478440,2019020438,12,6
8478498,2019020438,1,1
8480144,2019020438,5,2
8480944,2019020438,6,2
8470755,2019020449,11,7
8471215,2019020449,17,6
8471262,2019020449,8,5
8474613,2019020449,18,13
8476927,2019020449,19,9
8477404,2019020449,2,0
8477951,2019020449,3,2
8477955,2019020449,6,2
8477989,2019020449,11,5
8478043,2019020449,6,2
8478866,2019020449,1,0
8473512,2019020452,13,8
8473573,2019020452,9,5
8475752,2019020452,1,1
8475763,2019020452,15,6
8476419,2019020452,12,5
8476461,2019020452,18,12
8476872,2019020452,3,0
8476919,2019020452,13,8
8477426,2019020452,1,0
8478400,2019020452,9,5
8478844,2019020452,2,1
8479366,2019020452,5,0
8480801,2019020452,3,1
8470619,2019020457,10,4
8473422,2019020457,10,1
8474062,2019020457,4,3
8474098,2019020457,1,1
8474715,2019020457,1,0
8476389,2019020457,12,9
8476432,2019020457,12,6
8476952,2019020457,1,0
8476981,2019020457,3,1
8477493,2019020457,14,6
8478569,2019020457,13,11
8478839,2019020457,1,0
8479400,2019020457,15,6
8480074,2019020457,7,4
8473473,2019020471,1,1
8474150,2019020471,3,2
8476455,2019020471,10,4
8476873,2019020471,12,4
8477456,2019020471,12,5
8477492,2019020471,17,6
8477496,2019020471,20,13
8477497,2019020471,14,10
8477930,2019020471,18,8
8478585,2019020471,12,8
8479370,2019020471,5,1
8470638,2019020488,24,14
8471276,2019020488,20,13
8474564,2019020488,15,5
8475745,2019020488,7,1
8475780,2019020488,5,3
8476292,2019020488,1,0
8476374,2019020488,7,2
8476453,2019020488,1,0
8476975,2019020488,11,5
8477956,2019020488,1,0
8478010,2019020488,19,10
8478477,2019020488,5,4
8478498,2019020488,1,1
8478519,2019020488,13,7
8473422,2019020490,6,3
8474062,2019020490,5,3
8474679,2019020490,1,0
8475810,2019020490,1,0
8476432,2019020490,16,8
8476927,2019020490,11,4
8477010,2019020490,2,0
8477404,2019020490,13,7
8477416,2019020490,1,0
8477505,2019020490,2,0
8477955,2019020490,14,9
8478043,2019020490,4,2
8479400,2019020490,8,5
8480074,2019020490,6,4
8471698,2019020507,1,0
8473563,2019020507,17,9
8474189,2019020507,11,7
8474564,2019020507,6,2
8475343,2019020507,9,4
8475744,2019020507,12,7
8476826,2019020507,3,1
8476880,2019020507,1,0
8476894,2019020507,2,1
8476975,2019020507,7,4
8477409,2019020507,1,0
8478010,2019020507,12,9
8478477,2019020507,10,5
8478519,2019020507,14,4
8471218,2019020515,18,14
8473512,2019020515,13,6
8475763,2019020515,22,13
8476392,2019020515,1,0
8476406,2019020515,4,2
8476460,2019020515,16,8
8476461,2019020515,11,3
8477429,2019020515,17,9
8477979,2019020515,1,0
8478458,2019020515,1,0
8478844,2019020515,1,1
8480028,2019020515,9,1
8473573,2019020519,10,5
8474098,2019020519,2,1
